order_id,product_category
ORD_0000396,Celengan
ORD_0000397,"Rak / Rak Serbaguna"
ORD_0000398,Celengan
ORD_0000399,Celengan
ORD_0000400,Celengan
ORD_0000401,Celengan
ORD_0000402,"Mangkok Sambal / Saus"
ORD_0000403,Celengan
ORD_0000404,"Mangkok Sambal / Saus"
ORD_0000405,Other
ORD_0000406,"Rak / Rak Serbaguna"
ORD_0000407,Celengan
ORD_0000408,Celengan
ORD_0000409,"Mangkok Sambal / Saus"
ORD_0000410,"Rak / Rak Serbaguna"
ORD_0000411,Celengan
ORD_0000412,Celengan
ORD_0000413,Celengan
ORD_0000414,"Mangkok Sambal / Saus"
ORD_0000415,"Mangkok Sambal / Saus"
ORD_0000416,Celengan
ORD_0000417,"Mangkok Sambal / Saus"
ORD_0000418,"Mangkok Sambal / Saus"
ORD_0000419,Celengan
ORD_0000420,"Rak / Rak Serbaguna"
ORD_0000421,Celengan
ORD_0000422,"Mangkok Sambal / Saus"
ORD_0000423,Celengan
ORD_0000424,Celengan
ORD_0000425,Celengan
ORD_0000425,"Perlengkapan Packing"
ORD_0000427,Celengan
ORD_0000428,Celengan
ORD_0000429,Celengan
ORD_0000430,"Mangkok Sambal / Saus"
ORD_0000432,"Nampan / Tray"
ORD_0000433,"Rak / Rak Serbaguna"
ORD_0000434,Celengan
ORD_0000435,Celengan
ORD_0000436,Celengan
ORD_0000437,"Bangku / Kursi Kecil"
ORD_0000437,"Nampan / Tray"
ORD_0000437,"Perlengkapan Packing"
ORD_0000437,"Saringan / Strainer"
ORD_0000437,Talenan
ORD_0000438,"Mangkok Sambal / Saus"
ORD_0000439,Celengan
ORD_0000440,"Rak / Rak Serbaguna"
ORD_0000441,"Nampan / Tray"
ORD_0000442,"Mangkok Sambal / Saus"
ORD_0000443,"Botol / Gelas / Mug"
ORD_0000443,Keranjang
ORD_0000443,"Plastik / Wadah Plastik"
ORD_0000444,Celengan
ORD_0000445,Celengan
ORD_0000446,Celengan
ORD_0000447,Celengan
ORD_0000448,"Mangkok Sambal / Saus"
ORD_0000449,Celengan
ORD_0000450,Celengan
ORD_0000451,Celengan
ORD_0000453,"Peralatan Kamar Mandi"
ORD_0000454,Celengan
ORD_0000455,"Mangkok Sambal / Saus"
ORD_0000456,"Mangkok Sambal / Saus"
ORD_0000457,"Peralatan Makan"
ORD_0000458,Celengan
ORD_0000459,Celengan
ORD_0000460,Celengan
ORD_0000461,Celengan
ORD_0000462,Celengan
ORD_0000462,"Sapu / Pembersih Lantai"
ORD_0000463,"Mangkok Sambal / Saus"
ORD_0000464,"Mangkok Sambal / Saus"
ORD_0000465,"Rak / Rak Serbaguna"
ORD_0000466,Celengan
ORD_0000467,"Mangkok Sambal / Saus"
ORD_0000468,"Nampan / Tray"
ORD_0000469,"Lunch Box / Rantang"
ORD_0000470,Celengan
ORD_0000471,"Mangkok Sambal / Saus"
ORD_0000472,Celengan
ORD_0000473,"Mangkok Sambal / Saus"
ORD_0000474,"Lunch Box / Rantang"
ORD_0000475,Other
ORD_0000476,Celengan
ORD_0000477,Celengan
ORD_0000478,Celengan
ORD_0000479,"Mangkok Sambal / Saus"
ORD_0000480,"Rak / Rak Serbaguna"
ORD_0000481,Other
ORD_0000482,"Mangkok Sambal / Saus"
ORD_0000483,"Mangkok Sambal / Saus"
ORD_0000484,Celengan
ORD_0000485,Celengan
ORD_0000486,"Rak / Rak Serbaguna"
ORD_0000487,"Peralatan Kamar Mandi"
ORD_0000488,Other
ORD_0000489,Celengan
ORD_0000490,"Mangkok Sambal / Saus"
ORD_0000491,"Mangkok Sambal / Saus"
ORD_0000492,Celengan
ORD_0000493,Celengan
ORD_0000494,Keranjang
ORD_0000494,"Nampan / Tray"
ORD_0000495,Keranjang
ORD_0000495,"Nampan / Tray"
ORD_0000496,Other
ORD_0000497,"Aksesoris Pintu"
ORD_0000497,"Gantungan Baju / Hanger"
ORD_0000498,"Baskom / Mangkok Besar"
ORD_0000498,Celengan
ORD_0000499,"Baskom / Mangkok Besar"
ORD_0000499,"Saringan / Strainer"
ORD_0000500,Other
ORD_0000501,Other
ORD_0000502,Celengan
ORD_0000503,"Bangku / Kursi Kecil"
ORD_0000504,"Aksesoris Pintu"
ORD_0000505,"Teko / Jug"
ORD_0000506,"Baskom / Mangkok Besar"
ORD_0000507,"Rak / Rak Serbaguna"
ORD_0000508,"Gantungan Baju / Hanger"
ORD_0000509,"Sapu / Pembersih Lantai"
ORD_0000510,Keranjang
ORD_0000511,Celengan
ORD_0000512,Celengan
ORD_0000513,Celengan
ORD_0000514,Celengan
ORD_0000514,Other
ORD_0000515,"Nampan / Tray"
ORD_0000516,Piring
ORD_0000517,"Aksesoris Pintu"
ORD_0000517,"Gantungan Baju / Hanger"
ORD_0000518,"Lunch Box / Rantang"
ORD_0000519,"Baskom / Mangkok Besar"
ORD_0000520,"Aksesoris Pintu"
ORD_0000521,Celengan
ORD_0000522,Mangkok
ORD_0000523,"Aksesoris Pintu"
ORD_0000524,Celengan
ORD_0000525,Mangkok
ORD_0000526,"Aksesoris Pintu"
ORD_0000527,Celengan
ORD_0000527,"Perlengkapan Packing"
ORD_0000527,"Pisau / Alat Potong"
ORD_0000528,Keranjang
ORD_0000529,Piring
ORD_0000530,Mangkok
ORD_0000531,Keranjang
ORD_0000532,"Seal / Baut / Roof"
ORD_0000533,Other
ORD_0000534,"Stempel / Alat Kantor"
ORD_0000535,Piring
ORD_0000536,"Tempat Nasi"
ORD_0000537,"Nampan / Tray"
ORD_0000538,"Seal / Baut / Roof"
ORD_0000539,"Teko / Jug"
ORD_0000540,"Peralatan Kamar Mandi"
ORD_0000541,"Nampan / Tray"
ORD_0000542,"Baskom / Mangkok Besar"
ORD_0000543,"Aksesoris Pintu"
ORD_0000544,"Lunch Box / Rantang"
ORD_0000545,"Baskom / Mangkok Besar"
ORD_0000546,"Mangkok Sambal / Saus"
ORD_0000548,"Aksesoris Pintu"
ORD_0000549,"Nampan / Tray"
ORD_0000549,Spatula
ORD_0000550,"Aksesoris Pintu"
ORD_0000551,"Rak / Rak Serbaguna"
ORD_0000552,Celengan
ORD_0000553,Celengan
ORD_0000553,"Perlengkapan Packing"
ORD_0000554,"Nampan / Tray"
ORD_0000555,Celengan
ORD_0000556,Celengan
ORD_0000556,"Perlengkapan Packing"
ORD_0000556,"Pisau / Alat Potong"
ORD_0000557,"Baskom / Mangkok Besar"
ORD_0000558,Celengan
ORD_0000559,Celengan
ORD_0000560,Other
ORD_0000561,Celengan
ORD_0000562,"Mangkok Sambal / Saus"
ORD_0000563,Keranjang
ORD_0000564,"Tempat Nasi"
ORD_0000565,"Mangkok Sambal / Saus"
ORD_0000566,"Baskom / Mangkok Besar"
ORD_0000566,Celengan
ORD_0000567,"Aksesoris Pintu"
ORD_0000568,Celengan
ORD_0000569,"Nampan / Tray"
ORD_0000570,"Teko / Jug"
ORD_0000571,"Aksesoris Pintu"
ORD_0000572,Celengan
ORD_0000573,"Rak / Rak Serbaguna"
ORD_0000574,Other
ORD_0000575,"Aksesoris Pintu"
ORD_0000576,"Gantungan Baju / Hanger"
ORD_0000577,Celengan
ORD_0000579,Other
ORD_0000580,Other
ORD_0000580,"Perlengkapan Packing"
ORD_0000581,"Bangku / Kursi Kecil"
ORD_0000582,Celengan
ORD_0000583,Celengan
ORD_0000584,"Aksesoris Pintu"
ORD_0000585,"Aksesoris Pintu"
ORD_0000586,Celengan
ORD_0000587,Other
ORD_0000588,Other
ORD_0000589,"Nampan / Tray"
ORD_0000590,"Tempat Nasi"
ORD_0000591,Celengan
ORD_0000592,"Aksesoris Pintu"
ORD_0000593,"Aksesoris Pintu"
ORD_0000594,Celengan
ORD_0000595,"Aksesoris Pintu"
ORD_0000596,Keranjang
ORD_0000597,"Mangkok Sambal / Saus"
ORD_0000598,Celengan
ORD_0000599,"Mangkok Sambal / Saus"
ORD_0000600,"Nampan / Tray"
ORD_0000601,Celengan
ORD_0000602,Celengan
ORD_0000603,"Aksesoris Pintu"
ORD_0000604,Celengan
ORD_0000605,Celengan
ORD_0000605,Other
ORD_0000606,Celengan
ORD_0000607,"Teko / Jug"
ORD_0000608,Celengan
ORD_0000610,"Aksesoris Pintu"
ORD_0000611,Keranjang
ORD_0000612,"Teko / Jug"
ORD_0000613,Celengan
ORD_0000614,"Aksesoris Pintu"
ORD_0000615,"Aksesoris Pintu"
ORD_0000616,Celengan
ORD_0000617,"Seal / Baut / Roof"
ORD_0000618,Keranjang
ORD_0000619,Celengan
ORD_0000620,"Mangkok Sambal / Saus"
ORD_0000621,"Peralatan Makan"
ORD_0000622,Piring
ORD_0000623,"Pengolah Bumbu / Sayur"
ORD_0000624,"Lunch Box / Rantang"
ORD_0000625,"Botol / Gelas / Mug"
ORD_0000626,Celengan
ORD_0000627,"Nampan / Tray"
ORD_0000628,"Nampan / Tray"
ORD_0000628,Spatula
ORD_0000629,"Pengolah Bumbu / Sayur"
ORD_0000630,"Pisau / Alat Potong"
ORD_0000631,Celengan
ORD_0000632,Celengan
ORD_0000633,"Aksesoris Pintu"
ORD_0000634,"Aksesoris Pintu"
ORD_0000635,"Mangkok Sambal / Saus"
ORD_0000636,"Mangkok Sambal / Saus"
ORD_0000637,Keranjang
ORD_0000637,"Plastik / Wadah Plastik"
